"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"137","-5908.7265625","-5908.7265625","-5908.7265625","-5842.14453125","-5842.14453125","-5842.14453125","-5837.44921875","-5837.44921875","-5837.44921875"
"138","-5907.9970703125","-5907.9970703125","-5907.9970703125","-5851.9404296875","-5851.9404296875","-5851.9404296875","-5836.8076171875","-5836.8076171875","-5836.8076171875"
"139","-5907.0830078125","-5907.0830078125","-5907.0830078125","-5849.8544921875","-5849.8544921875","-5849.8544921875","-5836.2275390625","-5836.2275390625","-5836.2275390625"
"140","-5906.3125","-5906.3125","-5906.3125","-5846.8310546875","-5846.8310546875","-5846.8310546875","-5835.7490234375","-5835.7490234375","-5835.7490234375"
"141","-5905.3359375","-5905.3359375","-5905.3359375","-5844.8583984375","-5844.8583984375","-5844.8583984375","-5835.3330078125","-5835.3330078125","-5835.3330078125"
"142","-5904.39453125","-5904.39453125","-5904.39453125","-5843.447265625","-5843.447265625","-5843.447265625","-5834.65234375","-5834.65234375","-5834.65234375"
"143","-5903.5498046875","-5903.5498046875","-5903.5498046875","-5845.708984375","-5845.708984375","-5845.708984375","-5834.10546875","-5834.10546875","-5834.10546875"
"144","-5902.4052734375","-5902.4052734375","-5902.4052734375","-5847.75390625","-5847.75390625","-5847.75390625","-5833.6748046875","-5833.6748046875","-5833.6748046875"
"145","-5901.4326171875","-5901.4326171875","-5901.4326171875","-5847.3427734375","-5847.3427734375","-5847.3427734375","-5833.0234375","-5833.0234375","-5833.0234375"
"146","-5900.5107421875","-5900.5107421875","-5900.5107421875","-5844.74609375","-5844.74609375","-5844.74609375","-5832.478515625","-5832.478515625","-5832.478515625"
"147","-5899.4052734375","-5899.4052734375","-5899.4052734375","-5840.1904296875","-5840.1904296875","-5840.1904296875","-5832.1513671875","-5832.1513671875","-5832.1513671875"
"148","-5898.2294921875","-5898.2294921875","-5898.2294921875","-5839.955078125","-5839.955078125","-5839.955078125","-5831.42578125","-5831.42578125","-5831.42578125"
"149","-5897.2666015625","-5897.2666015625","-5897.2666015625","-5843.248046875","-5843.248046875","-5843.248046875","-5831.087890625","-5831.087890625","-5831.087890625"
"150","-5896.0537109375","-5896.0537109375","-5896.0537109375","-5843.748046875","-5843.748046875","-5843.748046875","-5830.6767578125","-5830.6767578125","-5830.6767578125"
"151","-5895.0244140625","-5895.0244140625","-5895.0244140625","-5843.50390625","-5843.50390625","-5843.50390625","-5830.3115234375","-5830.3115234375","-5830.3115234375"
"152","-5893.7861328125","-5893.7861328125","-5893.7861328125","-5842.1474609375","-5842.1474609375","-5842.1474609375","-5829.65625","-5829.65625","-5829.65625"
